CRM_ATPT_CPTD_CD,LAW_CAT_CD,OFNS_DESC,PD_DESC,PREM_TYP_DESC,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
COMPLETED,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,18-24,BLACK,M,25-44,BLACK,F
ATTEMPTED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,STREET,18-24,BLACK,M,25-44,WHITE HISPANIC,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",STREET,25-44,ASIAN/PAC.ISL,M,45-64,WHITE,M
COMPLETED,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMMERCIAL BUILDING,45-64,ASIAN/PAC.ISL,M,45-64,ASIAN/PAC.ISL,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",RESIDENCE - PUBLIC HOUSING,<18,BLACK,M,25-44,BLACK,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",OTHER,18-24,BLACK HISPANIC,F,25-44,BLACK,F
COMPLETED,FELONY,FELONY ASSAULT,STRANGULATION 1ST,RESIDENCE-HOUSE,25-44,WHITE HISPANIC,M,25-44,WHITE HISPANIC,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",RESIDENCE - APT. HOUSE,25-44,WHITE HISPANIC,M,18-24,WHITE,F
COMPLETED,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2",PUBLIC BUILDING,<18,WHITE HISPANIC,M,25-44,BLACK,F
COMPLETED,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",RESIDENCE - APT. HOUSE,18-24,WHITE HISPANIC,F,65+,WHITE HISPANIC,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE - APT. HOUSE,25-44,BLACK HISPANIC,M,25-44,BLACK,F
COMPLETED,MISDEMEANOR,OFFENSES AGAINST PUBLIC ADMINI,"CONTEMPT,CRIMINAL",RESIDENCE - APT. HOUSE,45-64,WHITE,M,65+,WHITE,F
COMPLETED,FELONY,BURGLARY,"BURGLARY,RESIDENCE,DAY",RESIDENCE - APT. HOUSE,18-24,BLACK,M,25-44,WHITE HISPANIC,M
ATTEMPTED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,STREET,18-24,BLACK,M,25-44,WHITE HISPANIC,F
COMPLETED,MISDEMEANOR,PETIT LARCENY,"LARCENY,PETIT FROM OPEN AREAS,",RESIDENCE - PUBLIC HOUSING,25-44,BLACK,M,18-24,BLACK,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",RESIDENCE - APT. HOUSE,25-44,BLACK HISPANIC,M,25-44,BLACK,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,25-44,BLACK,F,45-64,BLACK HISPANIC,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,25-44,WHITE HISPANIC,F,25-44,WHITE HISPANIC,M
COMPLETED,FELONY,SEX CRIMES,SEXUAL ABUSE,RESIDENCE-HOUSE,25-44,BLACK HISPANIC,F,25-44,WHITE HISPANIC,F
COMPLETED,FELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF, CRIMINAL 3 & 2, OF M",STREET,45-64,WHITE HISPANIC,M,25-44,WHITE HISPANIC,M
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",HOSPITAL,25-44,BLACK,M,45-64,BLACK,M
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE - APT. HOUSE,25-44,BLACK,F,25-44,BLACK,F
COMPLETED,FELONY,BURGLARY,"BURGLARY,RESIDENCE,NIGHT",RESIDENCE - PUBLIC HOUSING,25-44,BLACK,M,25-44,BLACK,F
COMPLETED,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",RESIDENCE - APT. HOUSE,18-24,WHITE HISPANIC,F,25-44,WHITE HISPANIC,M
COMPLETED,FELONY,BURGLARY,"BURGLARY,RESIDENCE,NIGHT",RESIDENCE-HOUSE,45-64,WHITE,M,45-64,WHITE,F
COMPLETED,FELONY,ROBBERY,"ROBBERY,PERSONAL ELECTRONIC DEVICE",STREET,25-44,BLACK,M,25-44,WHITE HISPANIC,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,TAXI (LIVERY LICENSED),25-44,BLACK HISPANIC,M,25-44,ASIAN/PAC.ISL,M
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",RESIDENCE - PUBLIC HOUSING,25-44,BLACK HISPANIC,M,25-44,BLACK HISPANIC,F
COMPLETED,FELONY,FELONY ASSAULT,STRANGULATION 1ST,STREET,18-24,WHITE HISPANIC,F,25-44,WHITE HISPANIC,F
COMPLETED,FELONY,ROBBERY,"ROBBERY,LICENSED FOR HIRE VEHICLE",STREET,25-44,BLACK,F,25-44,BLACK HISPANIC,M
COMPLETED,MISDEMEANOR,VEHICLE AND TRAFFIC LAWS,LEAVING SCENE-ACCIDENT-PERSONA,STREET,25-44,BLACK,M,45-64,WHITE,M
COMPLETED,FELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF, CRIMINAL 3 & 2, OF M",STREET,25-44,WHITE HISPANIC,M,25-44,WHITE HISPANIC,M
COMPLETED,MISDEMEANOR,PETIT LARCENY,"LARCENY,PETIT FROM BUILDING,UN",TRANSIT - NYC SUBWAY,25-44,BLACK,M,45-64,ASIAN/PAC.ISL,M
COMPLETED,FELONY,MISCELLANEOUS PENAL LAW,UNAUTHORIZED USE VEHICLE 2,STREET,25-44,BLACK,M,25-44,BLACK,M
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE - PUBLIC HOUSING,45-64,WHITE HISPANIC,M,45-64,WHITE HISPANIC,F
COMPLETED,FELONY,MISCELLANEOUS PENAL LAW,CRIMINAL CONTEMPT 1,RESIDENCE - PUBLIC HOUSING,25-44,BLACK,M,25-44,BLACK,F
COMPLETED,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,25-44,WHITE,M,25-44,WHITE,M
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE - APT. HOUSE,25-44,WHITE HISPANIC,M,25-44,BLACK,F
COMPLETED,FELONY,MISCELLANEOUS PENAL LAW,CRIMINAL CONTEMPT 1,RESIDENCE - APT. HOUSE,25-44,WHITE HISPANIC,F,25-44,WHITE HISPANIC,M
COMPLETED,FELONY,GRAND LARCENY,"LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)",STREET,18-24,WHITE HISPANIC,M,18-24,WHITE HISPANIC,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,HOSPITAL,25-44,BLACK,M,25-44,BLACK,M
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE-HOUSE,25-44,ASIAN/PAC.ISL,M,25-44,ASIAN/PAC.ISL,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE - APT. HOUSE,25-44,WHITE HISPANIC,M,45-64,WHITE HISPANIC,M
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE - APT. HOUSE,18-24,WHITE HISPANIC,M,18-24,BLACK,F
COMPLETED,MISDEMEANOR,PETIT LARCENY,"LARCENY,PETIT FROM AUTO",STREET,25-44,WHITE,M,45-64,ASIAN/PAC.ISL,F
COMPLETED,MISDEMEANOR,INTOXICATED & IMPAIRED DRIVING,"INTOXICATED DRIVING,ALCOHOL",STREET,45-64,WHITE HISPANIC,M,25-44,WHITE HISPANIC,F
COMPLETED,FELONY,ROBBERY,"ROBBERY,PERSONAL ELECTRONIC DEVICE",STREET,18-24,BLACK,M,25-44,BLACK,M
COMPLETED,FELONY,DANGEROUS WEAPONS,WEAPONS POSSESSION 3,STREET,25-44,BLACK,M,25-44,WHITE,M
COMPLETED,FELONY,MISCELLANEOUS PENAL LAW,CRIMINAL CONTEMPT 1,RESIDENCE-HOUSE,25-44,WHITE HISPANIC,M,25-44,WHITE HISPANIC,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,25-44,BLACK HISPANIC,F,45-64,BLACK HISPANIC,M
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,45-64,WHITE,F,45-64,WHITE HISPANIC,M
COMPLETED,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,25-44,BLACK HISPANIC,F,25-44,WHITE HISPANIC,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE-HOUSE,25-44,BLACK,M,25-44,BLACK,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,OBSTR BREATH/CIRCUL,RESIDENCE - PUBLIC HOUSING,<18,BLACK,M,18-24,BLACK,M
COMPLETED,FELONY,ROBBERY,"ROBBERY,PERSONAL ELECTRONIC DEVICE",STREET,25-44,WHITE HISPANIC,M,25-44,WHITE HISPANIC,M
COMPLETED,FELONY,ROBBERY,"ROBBERY,HOME INVASION",RESIDENCE - APT. HOUSE,25-44,WHITE HISPANIC,M,65+,BLACK,M
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,OBSTR BREATH/CIRCUL,RESIDENCE - APT. HOUSE,25-44,BLACK,M,18-24,BLACK,F
ATTEMPTED,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",STREET,45-64,BLACK,M,25-44,WHITE,M
COMPLETED,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,25-44,WHITE HISPANIC,M,25-44,WHITE HISPANIC,F
COMPLETED,MISDEMEANOR,PETIT LARCENY,"LARCENY,PETIT FROM BUILDING,UN",RESIDENCE - APT. HOUSE,25-44,BLACK,F,25-44,BLACK,F
COMPLETED,MISDEMEANOR,PETIT LARCENY,"LARCENY,PETIT FROM BUILDING,UN",RESIDENCE - PUBLIC HOUSING,45-64,BLACK HISPANIC,F,65+,BLACK HISPANIC,M
COMPLETED,FELONY,GRAND LARCENY,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",,25-44,BLACK,F,18-24,WHITE HISPANIC,F
COMPLETED,FELONY,MISCELLANEOUS PENAL LAW,CRIMINAL CONTEMPT 1,RESIDENCE - PUBLIC HOUSING,25-44,BLACK,M,25-44,BLACK,F
COMPLETED,FELONY,GRAND LARCENY,"LARCENY,GRAND BY THEFT OF CREDIT CARD",HOTEL/MOTEL,25-44,BLACK,F,18-24,WHITE HISPANIC,M
COMPLETED,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",PARK/PLAYGROUND,25-44,BLACK,M,25-44,WHITE,F
COMPLETED,FELONY,ROBBERY,"ROBBERY,OPEN AREA UNCLASSIFIED",STREET,<18,BLACK,M,25-44,BLACK,M
COMPLETED,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",STREET,<18,BLACK,F,<18,BLACK,M
COMPLETED,FELONY,FELONY ASSAULT,STRANGULATION 1ST,RESIDENCE-HOUSE,25-44,BLACK,M,25-44,BLACK,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE - APT. HOUSE,25-44,WHITE,F,25-44,WHITE HISPANIC,F
COMPLETED,FELONY,ROBBERY,"ROBBERY,DWELLING",RESIDENCE - APT. HOUSE,25-44,WHITE HISPANIC,M,25-44,WHITE HISPANIC,F
COMPLETED,FELONY,POSSESSION OF STOLEN PROPERTY,"STOLEN PROPERTY 2,1,POSSESSION",STREET,25-44,BLACK,M,45-64,BLACK,F
COMPLETED,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",RESIDENCE-HOUSE,25-44,BLACK,M,45-64,BLACK,F
COMPLETED,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",RESIDENCE - APT. HOUSE,45-64,ASIAN/PAC.ISL,M,25-44,ASIAN/PAC.ISL,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,OBSTR BREATH/CIRCUL,RESIDENCE - APT. HOUSE,45-64,BLACK,M,<18,BLACK,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE - APT. HOUSE,25-44,WHITE HISPANIC,M,18-24,WHITE HISPANIC,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",RESIDENCE - PUBLIC HOUSING,25-44,BLACK,M,65+,BLACK HISPANIC,F
COMPLETED,FELONY,FELONY ASSAULT,STRANGULATION 1ST,RESIDENCE - APT. HOUSE,45-64,WHITE HISPANIC,M,45-64,WHITE HISPANIC,F
COMPLETED,FELONY,MISCELLANEOUS PENAL LAW,CRIMINAL CONTEMPT 1,RESIDENCE - APT. HOUSE,45-64,WHITE,M,25-44,WHITE,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,25-44,BLACK,F,25-44,BLACK,F
COMPLETED,FELONY,GRAND LARCENY,"LARCENY,GRAND FROM PERSON, BAG OPEN/DIP",BUS (NYC TRANSIT),25-44,BLACK,M,65+,WHITE,F
COMPLETED,MISDEMEANOR,ADMINISTRATIVE CODE,"ADM.CODE,UNCLASSIFIED MISDEMEA",RESIDENCE - APT. HOUSE,25-44,WHITE,M,25-44,WHITE,F
COMPLETED,FELONY,RAPE,RAPE 3,RESIDENCE-HOUSE,25-44,BLACK,M,<18,BLACK,F
COMPLETED,MISDEMEANOR,PETIT LARCENY,"LARCENY,PETIT FROM BUILDING,UN",RESIDENCE - PUBLIC HOUSING,18-24,BLACK,M,25-44,WHITE HISPANIC,F
COMPLETED,MISDEMEANOR,OFFENSES AGAINST PUBLIC ADMINI,VIOLATION OF ORDER OF PROTECTI,STREET,45-64,BLACK,F,45-64,BLACK,M
COMPLETED,MISDEMEANOR,OFFENSES AGAINST PUBLIC ADMINI,VIOLATION OF ORDER OF PROTECTI,,25-44,BLACK,M,25-44,BLACK,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,25-44,BLACK,M,18-24,BLACK,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",OTHER,<18,BLACK,F,<18,BLACK,F
COMPLETED,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2",PRIVATE/PAROCHIAL SCHOOL,<18,WHITE HISPANIC,M,<18,BLACK,F
COMPLETED,FELONY,BURGLARY,"BURGLARY,RESIDENCE,NIGHT",RESIDENCE - APT. HOUSE,45-64,BLACK,F,45-64,BLACK,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",PRIVATE/PAROCHIAL SCHOOL,25-44,BLACK,F,25-44,WHITE HISPANIC,F
COMPLETED,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,18-24,BLACK,M,25-44,BLACK,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",RESIDENCE - APT. HOUSE,45-64,BLACK HISPANIC,M,45-64,WHITE HISPANIC,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE - APT. HOUSE,45-64,BLACK,M,25-44,BLACK,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",RESIDENCE - PUBLIC HOUSING,18-24,BLACK,M,18-24,BLACK,F
COMPLETED,MISDEMEANOR,OFFENSES AGAINST PUBLIC ADMINI,"CONTEMPT,CRIMINAL",RESIDENCE - APT. HOUSE,25-44,WHITE,M,25-44,WHITE,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE - APT. HOUSE,25-44,WHITE HISPANIC,M,25-44,BLACK,F
COMPLETED,FELONY,RAPE,RAPE 1,HOTEL/MOTEL,25-44,WHITE HISPANIC,M,18-24,WHITE HISPANIC,F
COMPLETED,FELONY,MISCELLANEOUS PENAL LAW,CRIMINAL CONTEMPT 1,RESIDENCE - APT. HOUSE,25-44,WHITE HISPANIC,M,25-44,WHITE HISPANIC,F
COMPLETED,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,RESIDENCE - APT. HOUSE,18-24,BLACK,M,18-24,BLACK,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE-HOUSE,25-44,BLACK,F,25-44,BLACK,M
COMPLETED,MISDEMEANOR,PETIT LARCENY,"LARCENY,PETIT FROM OPEN AREAS,",OTHER,18-24,WHITE HISPANIC,M,25-44,ASIAN/PAC.ISL,M
COMPLETED,FELONY,MISCELLANEOUS PENAL LAW,CRIMINAL CONTEMPT 1,RESIDENCE-HOUSE,25-44,BLACK,M,25-44,WHITE HISPANIC,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,<18,BLACK HISPANIC,F,25-44,WHITE HISPANIC,F
COMPLETED,FELONY,RAPE,RAPE 1,RESIDENCE - APT. HOUSE,25-44,WHITE HISPANIC,M,18-24,WHITE HISPANIC,F
COMPLETED,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,RESIDENCE-HOUSE,25-44,WHITE,M,18-24,WHITE,F
COMPLETED,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,18-24,BLACK,F,18-24,BLACK,F
COMPLETED,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,GROCERY/BODEGA,25-44,WHITE HISPANIC,M,25-44,WHITE HISPANIC,F
COMPLETED,FELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF, CRIMINAL 3 & 2, OF M",STREET,25-44,WHITE,M,25-44,WHITE,F
COMPLETED,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,RESIDENCE - PUBLIC HOUSING,45-64,BLACK,M,45-64,BLACK HISPANIC,M
COMPLETED,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,RESIDENCE - PUBLIC HOUSING,25-44,BLACK,M,45-64,BLACK,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE - APT. HOUSE,18-24,WHITE,M,25-44,WHITE,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,STREET,45-64,BLACK,M,45-64,WHITE HISPANIC,F
COMPLETED,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,18-24,BLACK,M,25-44,BLACK,F
COMPLETED,MISDEMEANOR,OFFENSES AGAINST PUBLIC ADMINI,VIOLATION OF ORDER OF PROTECTI,STREET,25-44,WHITE HISPANIC,M,25-44,WHITE HISPANIC,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE - PUBLIC HOUSING,25-44,BLACK HISPANIC,F,25-44,BLACK HISPANIC,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",OTHER,45-64,WHITE,M,25-44,WHITE,M
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,45-64,WHITE,F,25-44,BLACK,F
COMPLETED,MISDEMEANOR,OFFENSES AGAINST PUBLIC ADMINI,VIOLATION OF ORDER OF PROTECTI,RESIDENCE - APT. HOUSE,18-24,WHITE HISPANIC,M,45-64,WHITE HISPANIC,F
COMPLETED,MISDEMEANOR,PETIT LARCENY,"LARCENY,PETIT FROM BUILDING,UN",PUBLIC SCHOOL,<18,BLACK,F,<18,WHITE HISPANIC,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE-HOUSE,18-24,BLACK,M,18-24,BLACK,F
COMPLETED,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",STREET,25-44,BLACK,M,45-64,WHITE HISPANIC,M
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE-HOUSE,18-24,WHITE HISPANIC,M,18-24,WHITE HISPANIC,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",COMMERCIAL BUILDING,45-64,WHITE HISPANIC,M,25-44,WHITE HISPANIC,M
COMPLETED,FELONY,RAPE,RAPE 3,RESIDENCE - APT. HOUSE,25-44,BLACK,M,<18,BLACK,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,STREET,25-44,WHITE,F,65+,WHITE HISPANIC,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",OTHER,25-44,BLACK,M,25-44,WHITE HISPANIC,M
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,PARK/PLAYGROUND,<18,WHITE HISPANIC,M,<18,WHITE HISPANIC,M
COMPLETED,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,RESIDENCE-HOUSE,45-64,WHITE,M,25-44,BLACK,F
COMPLETED,FELONY,MISCELLANEOUS PENAL LAW,CRIMINAL CONTEMPT 1,RESIDENCE - PUBLIC HOUSING,25-44,WHITE HISPANIC,M,25-44,WHITE HISPANIC,F
COMPLETED,MISDEMEANOR,OFFENSES AGAINST PUBLIC ADMINI,VIOLATION OF ORDER OF PROTECTI,RESIDENCE-HOUSE,25-44,WHITE HISPANIC,M,25-44,WHITE HISPANIC,F
COMPLETED,MISDEMEANOR,OFFENSES AGAINST PUBLIC ADMINI,VIOLATION OF ORDER OF PROTECTI,RESIDENCE - APT. HOUSE,25-44,BLACK,M,25-44,WHITE HISPANIC,F
COMPLETED,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,25-44,BLACK HISPANIC,M,45-64,BLACK HISPANIC,F
COMPLETED,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,BEAUTY & NAIL SALON,45-64,ASIAN/PAC.ISL,M,45-64,ASIAN/PAC.ISL,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",RESIDENCE-HOUSE,25-44,ASIAN/PAC.ISL,M,25-44,ASIAN/PAC.ISL,F
COMPLETED,MISDEMEANOR,PETIT LARCENY,"LARCENY,PETIT FROM BUILDING,UN",RESIDENCE - PUBLIC HOUSING,25-44,BLACK,F,25-44,WHITE,F
COMPLETED,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,COMMERCIAL BUILDING,18-24,BLACK,M,45-64,BLACK,M
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE-HOUSE,25-44,AMER IND,F,25-44,AMER IND,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",RESIDENCE - APT. HOUSE,18-24,BLACK,F,25-44,BLACK,M
COMPLETED,FELONY,GRAND LARCENY,"LARCENY,GRAND BY FALSE PROMISE-IN PERSON CONTACT",RESIDENCE-HOUSE,25-44,ASIAN/PAC.ISL,M,65+,ASIAN/PAC.ISL,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",RESIDENCE-HOUSE,25-44,WHITE,F,18-24,WHITE,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,TAXI (YELLOW LICENSED),25-44,BLACK,M,45-64,ASIAN/PAC.ISL,M
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",STREET,25-44,WHITE HISPANIC,M,25-44,WHITE,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE - PUBLIC HOUSING,25-44,BLACK,M,45-64,BLACK HISPANIC,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE - PUBLIC HOUSING,25-44,BLACK,M,45-64,BLACK HISPANIC,F
COMPLETED,FELONY,FELONY ASSAULT,STRANGULATION 1ST,RESIDENCE - APT. HOUSE,25-44,BLACK HISPANIC,M,25-44,BLACK HISPANIC,F
COMPLETED,FELONY,MISCELLANEOUS PENAL LAW,CRIMINAL CONTEMPT 1,RESIDENCE - PUBLIC HOUSING,18-24,BLACK,M,18-24,WHITE HISPANIC,F
COMPLETED,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,25-44,WHITE HISPANIC,F,45-64,BLACK,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",RESIDENCE - PUBLIC HOUSING,25-44,BLACK,M,25-44,BLACK,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,OTHER,45-64,BLACK,M,45-64,BLACK,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,STREET,45-64,BLACK,M,45-64,BLACK,F
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,STREET,45-64,BLACK,F,45-64,BLACK,M
COMPLETED,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF, CRIMINAL 4, OF MOTOR",STREET,25-44,WHITE HISPANIC,M,25-44,BLACK,M
COMPLETED,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",RESIDENCE - APT. HOUSE,18-24,WHITE HISPANIC,F,25-44,WHITE HISPANIC,M
COMPLETED,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",RESIDENCE - APT. HOUSE,18-24,WHITE HISPANIC,F,25-44,WHITE HISPANIC,F
